ntcse,uunn,amt,direccion,wgsy,wgsx
I420905,HUANUCO,A4272,DERIVACION CARAN,-10.07923451,-76.71662407
I420910,HUANUCO,A4272,DERIVACION NAUPACHACA,-10.03947154,-76.71759449
I420904,HUANUCO,A4272,DERIVACION CARAN,-10.07688577,-76.73479432
I442040,HUANUCO,A4272,DERIVACION AGOBAMBA,-10.02431873,-76.68420303
I442044,HUANUCO,A4254,JR. LOS EUCALIPTOS,-9.909677605,-76.22582048
I420281,HUANUCO,A4258,PUCUCHINCHE,-9.922115185,-76.29301692
I420874,HUANUCO,A4269,SECC. I420874,-9.808756876,-76.76634976
I420875,HUANUCO,A4269,SECC. I420875,-9.79438975,-76.71015446
I420876,HUANUCO,A4269,SECC. I420876,-9.799736625,-76.66810865
I420877,HUANUCO,A4269,SECC. I420877,-9.839437355,-76.62504472
I420871,HUANUCO,A4269,SECC. I420871,-9.855294264,-76.62622356
I420870,HUANUCO,A4269,SECC. I420870,-9.797521576,-76.66670307
I420868,HUANUCO,A4270,SECC. I420868,-9.83319831,-76.80299149
I420890,HUANUCO,A4269,SECC. I420890,-9.864499492,-76.60860619
I419344,HUANUCO,,SECC. I419344,-10.31486316,-75.94559372
I419345,HUANUCO,,SECC. I419345,-10.33947825,-75.92838377
I420882,HUANUCO,A4258,SECC. I420882,-9.934437215,-76.26905757
I420883,HUANUCO,A4258,SECC. I420883,-9.920214607,-76.32424422
I420884,HUANUCO,A4258,SECC. I420884,-9.923051783,-76.34991579
I420888,HUANUCO,,SECC. I420888,-9.885800281,-76.49980057
I420887,HUANUCO,,SECC. I420887,-9.893903342,-76.47563484
I420889,HUANUCO,,SECC. I420889,-9.864423597,-76.54502113
I420886,HUANUCO,,SECC. I420886,-9.898091784,-76.41822621
I420881,HUANUCO,A4258,SECC. I420881,-9.941674692,-76.25439156
I420879,HUANUCO,A4258,SECC. I420879,-9.948333217,-76.24682528
I420880,HUANUCO,A4258,SECC. I420880,-9.941498916,-76.25097103
I420872,HUANUCO,A4269,SECC. I420872,-9.863903346,-76.61065568
I442047,HUANUCO,A4260,DERIVACION TARUCA,-9.853717341,-76.14757434
I442046,HUANUCO,A4251,SECC: I442046,-9.939512158,-76.25809325
I442043,HUANUCO,,I442043,-9.963402235,-76.24562372
